ProductKey,ProductAlternateKey,EnglishProductName,EnglishDescription,EnglishProductCategoryName
310,BK-R93R-62,"Road-150 Red, 62","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Components
311,BK-R93R-44,"Road-150 Red, 44","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Components
312,BK-R93R-48,"Road-150 Red, 48","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Components
313,BK-R93R-52,"Road-150 Red, 52","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Components
314,BK-R93R-56,"Road-150 Red, 56","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Components
315,BK-R68R-58,"Road-450 Red, 58","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Components
316,BK-R68R-60,"Road-450 Red, 60","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Components
317,BK-R68R-44,"Road-450 Red, 44","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Components
318,BK-R68R-48,"Road-450 Red, 48","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Components
319,BK-R68R-52,"Road-450 Red, 52","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Components
320,BK-R50R-58,"Road-650 Red, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
321,BK-R50R-58,"Road-650 Red, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
322,BK-R50R-60,"Road-650 Red, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
323,BK-R50R-60,"Road-650 Red, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
324,BK-R50R-62,"Road-650 Red, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
325,BK-R50R-62,"Road-650 Red, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
326,BK-R50R-44,"Road-650 Red, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
327,BK-R50R-44,"Road-650 Red, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
328,BK-R50R-48,"Road-650 Red, 48","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
329,BK-R50R-48,"Road-650 Red, 48","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
330,BK-R50R-52,"Road-650 Red, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
331,BK-R50R-52,"Road-650 Red, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
332,BK-R50B-58,"Road-650 Black, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
333,BK-R50B-58,"Road-650 Black, 58","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
334,BK-R50B-60,"Road-650 Black, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
335,BK-R50B-60,"Road-650 Black, 60","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
336,BK-R50B-62,"Road-650 Black, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
337,BK-R50B-62,"Road-650 Black, 62","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
338,BK-R50B-44,"Road-650 Black, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
339,BK-R50B-44,"Road-650 Black, 44","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
340,BK-R50B-48,"Road-650 Black, 48","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
341,BK-R50B-48,"Road-650 Black, 48","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
342,BK-R50B-52,"Road-650 Black, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
343,BK-R50B-52,"Road-650 Black, 52","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Components
344,BK-M82S-38,"Mountain-100 Silver, 38","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
345,BK-M82S-42,"Mountain-100 Silver, 42","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
346,BK-M82S-44,"Mountain-100 Silver, 44","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
347,BK-M82S-48,"Mountain-100 Silver, 48","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
348,BK-M82B-38,"Mountain-100 Black, 38","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
349,BK-M82B-42,"Mountain-100 Black, 42","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
350,BK-M82B-44,"Mountain-100 Black, 44","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
351,BK-M82B-48,"Mountain-100 Black, 48","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Bikes
352,BK-M68S-38,"Mountain-200 Silver, 38",Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bikes
353,BK-M68S-38,"Mountain-200 Silver, 38",Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bikes
354,BK-M68S-42,"Mountain-200 Silver, 42",Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bikes
355,BK-M68S-42,"Mountain-200 Silver, 42",Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bikes
